account_id,username,account_age_days,posts,followers,following,has_profile_picture,bio_length,avg_likes_per_post,avg_comments_per_post,follow_back_ratio,username_pattern,activity_pattern,network_pattern,label
acc_384559,david_gym_846,1744,43,989,3634,1,28,91,2,0.2721518987341772,normal,normal,normal,genuine
acc_565511,alex_smith_347,419,1810,694,105,0,0,28,4,6.609523809523809,normal,normal,normal,genuine
acc_275431,mark_coffee_97,410,20,0,125,1,28,10,4,0.0,normal,normal,normal,genuine
acc_894120,user_1738888,147,36,140,7226,0,28,1,0,0.01937448104068641,normal,burst,mass_following,suspicious
acc_952612,chris_music,14,2588,59,0,1,33,19,0,0.0,normal,normal,normal,genuine
acc_459315,david_gym,1875,212,63,0,1,32,18,1,0.0,normal,normal,normal,genuine
acc_582598,jessica_reads,2094,78,221,9063,0,33,8,1,0.024384861524881386,normal,burst,mass_following,suspicious
acc_890973,olivia_art,2476,3750,71,137,1,33,14,0,0.5182481751824818,normal,normal,normal,genuine
acc_584064,jessica_reads,1652,30,19,7,1,32,12,2,2.7142857142857144,normal,normal,normal,genuine
acc_548217,sophia_nature_93,1324,9,64,817,0,31,12,3,0.07833537331701346,normal,normal,normal,genuine
acc_267595,follower_boost,1696,1037,293,990,1,31,1,2,0.295959595959596,normal,repetitive,normal,suspicious
acc_533966,follower_boost,1784,0,19,503,0,28,0,0,0.03777335984095427,normal,spammy,mass_following,suspicious
acc_707488,emma_tech,152,48,0,0,0,28,3,3,0.0,normal,normal,normal,genuine
acc_444802,david_gym,1030,0,0,0,1,33,0,0,0.0,normal,normal,normal,genuine
acc_452001,sophia_nature,2109,0,47,864,1,31,0,0,0.05439814814814815,normal,normal,normal,genuine
acc_193298,olivia_art_719,692,4,0,321,1,33,15,0,0.0,normal,normal,normal,genuine
acc_496011,chris_music,432,315,0,0,1,32,15,1,0.0,normal,normal,normal,genuine
acc_535214,emma_tech_633,1770,30,0,481,0,36,6,3,0.0,normal,normal,normal,genuine
acc_757061,lily_food,682,1820,181,586,1,32,1,0,0.30887372013651876,normal,spammy,normal,suspicious
acc_833491,sophia_nature,1610,7,22,0,0,32,16,5,0.0,normal,normal,normal,genuine
acc_884309,jessica_reads_599,1953,0,0,0,0,0,0,0,0.0,normal,normal,normal,genuine
acc_449850,sophia_nature,15,40,7139,369,1,30,30,7,10.0,normal,normal,fake_follower_spike,suspicious
acc_468852,chris_music_846,1777,311,1733,0,0,30,18,13,0.0,normal,normal,normal,genuine
acc_538174,sarah_jones,1897,0,5050,2070,1,33,0,0,2.4396135265700485,normal,normal,normal,genuine
acc_111749,user_9828888,739,3003,117,766,0,31,3,1,0.15274151436031333,normal,repetitive,normal,suspicious
acc_622829,jessica_reads,2073,103,12800,231,1,0,84,16,10.0,normal,normal,fake_follower_spike,suspicious
acc_218548,mike_travel,241,3909,0,998,1,32,15,3,0.0,normal,normal,normal,genuine
acc_435772,mike_travel_757,2238,33,873,653,1,37,17,17,1.336906584992343,normal,normal,normal,genuine
acc_872399,jessica_reads,2326,0,82,0,1,33,0,0,0.0,normal,normal,normal,genuine
acc_854717,tom_books,1267,43,0,589,0,0,9,3,0.0,normal,normal,normal,genuine
acc_695994,mike_travel,2234,639,432,578,0,31,4,2,0.7474048442906575,normal,spammy,normal,suspicious
acc_239430,john_photo,212,42,1,1341,1,28,4,3,0.0007457121551081282,normal,normal,normal,genuine
acc_801145,sarah_jones,1261,456,66,991,1,26,16,4,0.06659939455095863,normal,normal,normal,genuine
acc_225151,david_gym_286,2280,17,33,1630,1,0,9,3,0.020245398773006136,normal,normal,normal,genuine
acc_353749,mark_coffee,30,41,0,499,0,30,12,3,0.0,normal,normal,normal,genuine
acc_476096,alex_smith,778,0,0,450,0,26,0,0,0.0,normal,normal,normal,genuine
acc_505763,tom_books,403,65,402,3096,1,0,0,3,0.1298449612403101,normal,burst,mass_following,suspicious
acc_487236,isabella_yoga,2490,1492,305,504,0,31,3,0,0.6051587301587301,normal,spammy,normal,suspicious
acc_609763,lily_food,2172,36,0,67,0,37,4,2,0.0,normal,normal,normal,genuine
acc_272702,sophia_nature_727,1372,110,48,101,1,36,7,5,0.4752475247524752,normal,normal,normal,genuine
acc_515614,emma_tech_923,931,29,577,2704,0,32,57,10,0.21338757396449703,normal,normal,normal,genuine
acc_397901,mike_travel_269,714,0,5290,6,1,36,0,0,10.0,normal,normal,normal,genuine
acc_603935,isabella_yoga,421,484,0,132,1,31,14,2,0.0,normal,normal,normal,genuine
acc_740626,isabella_yoga,1144,2255,0,76,1,0,3,5,0.0,normal,normal,normal,genuine
acc_200331,emma_tech,906,286,0,172,1,27,14,1,0.0,normal,normal,normal,genuine
acc_492650,tom_books,1547,0,3925,742,0,37,0,0,5.289757412398922,normal,normal,normal,genuine
acc_928204,chris_music,2150,9,42,332,1,30,11,5,0.12650602409638553,normal,normal,normal,genuine
acc_402418,sarah_jones,2044,44,67,0,1,31,9,4,0.0,normal,normal,normal,genuine
acc_809790,sarah_jones,107,19,0,672,1,28,19,5,0.0,normal,normal,normal,genuine
acc_535673,isabella_yoga,1935,16,621,4236,1,26,17,0,0.14660056657223797,normal,normal,normal,genuine
acc_920755,tom_books_540,1256,0,45,0,1,27,0,0,0.0,normal,normal,normal,genuine
acc_575779,david_gym,2463,54,0,38,0,37,18,4,0.0,normal,normal,normal,genuine
acc_509772,david_gym,1636,35,0,410,1,32,10,2,0.0,normal,normal,normal,genuine
acc_541508,sophia_nature,130,2131,86,708,0,27,16,5,0.12146892655367232,normal,normal,normal,genuine
acc_400412,user_1818888,191,21,383,3145,0,28,3,2,0.12178060413354531,normal,burst,mass_following,suspicious
acc_927251,sophia_nature,1744,40,71,391,1,31,16,2,0.1815856777493606,normal,normal,normal,genuine
acc_889327,david_gym,975,0,0,0,0,27,0,0,0.0,normal,normal,normal,genuine
acc_436219,alex_smith_993,2192,0,833,0,0,27,0,0,0.0,normal,normal,normal,genuine
acc_998913,user_525888,1270,21,262,7203,0,0,4,1,0.03637373316673608,normal,burst,mass_following,suspicious
acc_180716,mike_travel,40,39,63,218,0,31,16,4,0.2889908256880734,normal,normal,normal,genuine
acc_582879,mike_travel,1783,173,12465,445,1,33,13,12,10.0,normal,normal,fake_follower_spike,suspicious
acc_395915,mike_travel,268,356,40,0,1,37,18,3,0.0,normal,normal,normal,genuine
acc_855185,jessica_reads,2343,39,91,4388,1,31,16,4,0.0207383773928897,normal,normal,normal,genuine
acc_990848,user_719888,206,2273,357,252,0,28,8,0,1.4166666666666667,normal,repetitive,normal,suspicious
acc_666702,john_photo,71,798,112,507,1,28,1,2,0.22090729783037474,normal,spammy,normal,suspicious
acc_803069,emma_tech,1578,13,76,81,1,32,16,0,0.9382716049382716,normal,normal,normal,genuine
acc_689063,sophia_nature,1201,466,67,4544,1,0,8,2,0.014744718309859154,normal,normal,normal,genuine
acc_660591,david_gym,2056,365,18,740,0,37,19,0,0.024324324324324326,normal,normal,normal,genuine
acc_677981,emma_tech,2289,109,5195,64,1,31,45,18,10.0,normal,normal,fake_follower_spike,suspicious
acc_899106,buy_2026,1770,0,72,587,0,39,0,0,0.12265758091993186,normal,spammy,mass_following,suspicious
acc_586462,jessica_reads,2021,448,0,105,1,37,10,0,0.0,normal,normal,normal,genuine
acc_889245,jessica_reads,1764,0,66,177,1,0,0,0,0.3728813559322034,normal,normal,normal,genuine
acc_892528,david_gym,254,0,175,0,0,36,0,0,0.0,normal,normal,normal,genuine
acc_519675,sarah_jones,1713,293,389,0,1,33,11,3,0.0,normal,normal,normal,genuine
acc_834764,isabella_yoga,1303,0,0,43,0,30,0,0,0.0,normal,normal,normal,genuine
acc_417905,mark_coffee,960,0,0,1455,1,33,0,0,0.0,normal,normal,normal,genuine
acc_886224,john_photo,1512,30,968,851,1,26,50,6,1.137485311398355,normal,normal,normal,genuine
acc_695551,lily_food_344,1166,30,18,0,1,28,5,0,0.0,normal,normal,normal,genuine
acc_193774,james_sports,1283,309,8614,988,0,27,20,31,8.718623481781377,normal,normal,normal,genuine
acc_193469,jessica_reads,771,0,41,749,1,30,0,0,0.05473965287049399,normal,normal,normal,genuine
acc_692867,chris_music,2246,265,68,169,0,0,9,1,0.40236686390532544,normal,normal,normal,genuine
acc_953309,jessica_reads_919,1258,33,84,91,1,36,5,3,0.9230769230769231,normal,normal,normal,genuine
acc_715332,isabella_yoga_120,1057,5,30,0,1,31,9,0,0.0,normal,normal,normal,genuine
acc_111756,john_photo,1243,0,4126,0,1,28,0,0,0.0,normal,normal,normal,genuine
acc_835639,buy_likes_here,420,1748,166,763,0,28,6,0,0.21756225425950196,normal,repetitive,normal,suspicious
acc_553762,lily_food_68,2301,411,6,4305,1,26,19,2,0.0013937282229965157,normal,normal,normal,genuine
acc_568516,olivia_art,843,0,0,1493,1,30,0,0,0.0,normal,normal,normal,genuine
acc_972950,isabella_yoga_461,2370,69,531,154,1,0,0,5,3.448051948051948,normal,normal,normal,genuine
acc_818983,jessica_reads_151,22,84,8926,347,1,28,12,2,10.0,normal,normal,fake_follower_spike,suspicious
acc_174030,user_64888,1824,3946,304,421,1,31,6,1,0.7220902612826603,normal,repetitive,normal,suspicious
acc_144821,david_gym,1374,0,0,0,1,37,0,0,0.0,normal,normal,normal,genuine
acc_394577,sophia_nature,379,487,33,4115,1,36,15,4,0.00801944106925881,normal,normal,normal,genuine
acc_533354,mike_travel,532,4722,0,739,0,26,3,5,0.0,normal,normal,normal,genuine
acc_437758,lily_food_130,1127,375,0,0,1,26,6,3,0.0,normal,normal,normal,genuine
acc_886099,jessica_reads,862,6,2835,208,1,36,181,23,10.0,normal,normal,normal,genuine
acc_934735,olivia_art,1099,3249,47,121,1,26,12,0,0.3884297520661157,normal,normal,normal,genuine
acc_397427,isabella_yoga,491,263,88,0,1,36,3,4,0.0,normal,normal,normal,genuine
acc_533703,david_gym,1570,1696,390,671,1,26,1,2,0.5812220566318927,normal,spammy,normal,suspicious
acc_509650,tom_books,257,4,184,1197,1,37,19,5,0.15371762740183792,normal,normal,normal,genuine
acc_233827,lily_food,1614,0,0,0,1,27,0,0,0.0,normal,normal,normal,genuine
acc_559654,isabella_yoga,1212,0,0,0,0,26,0,0,0.0,normal,normal,normal,genuine
acc_300022,david_gym,2252,21,234,277,0,32,15,0,0.8447653429602888,normal,normal,normal,genuine
acc_697911,lily_food,2449,106,8824,65,1,30,57,4,10.0,normal,normal,fake_follower_spike,suspicious
acc_685066,james_sports,1033,47,3318,872,0,36,158,48,3.805045871559633,normal,normal,normal,genuine
acc_724702,alex_smith,1237,0,5522,3338,0,37,0,0,1.6542840023966447,normal,normal,normal,genuine
acc_849119,isabella_yoga_68,682,13,96,0,0,37,0,0,0.0,normal,normal,normal,genuine
acc_823468,chris_music,1899,282,0,0,1,31,14,0,0.0,normal,normal,normal,genuine
acc_223025,mike_travel,738,335,16,168,1,37,2,0,0.09523809523809523,normal,normal,normal,genuine
acc_659718,chris_music_874,102,181,10396,121,1,0,27,14,10.0,normal,normal,fake_follower_spike,suspicious
acc_818234,lily_food_682,394,24,50,109,1,32,13,5,0.45871559633027525,normal,normal,normal,genuine
acc_468149,tom_books,2489,46,430,5294,0,33,3,2,0.08122402720060445,normal,burst,mass_following,suspicious
acc_295085,olivia_art,2301,185,28,0,0,32,14,0,0.0,normal,normal,normal,genuine
acc_222655,bitcoin_to_moon,1632,884,381,603,0,39,8,0,0.6318407960199005,normal,repetitive,normal,suspicious
acc_735130,emma_tech,1076,1655,152,217,0,30,2,2,0.7004608294930875,normal,spammy,normal,suspicious
acc_973048,chris_music,696,294,656,18,0,37,32,5,10.0,normal,normal,normal,genuine
acc_343500,chris_music,153,1941,957,4941,0,37,1,9,0.19368548876745598,normal,normal,normal,genuine
acc_461822,emma_tech,2164,44,9578,277,1,37,432,126,10.0,normal,normal,normal,genuine
acc_819400,chris_music,1274,45,29,117,1,33,17,5,0.24786324786324787,normal,normal,normal,genuine
acc_453796,james_sports,737,21,0,27,1,28,6,0,0.0,normal,normal,normal,genuine
acc_586377,sarah_jones,1080,49,83,0,1,31,16,0,0.0,normal,normal,normal,genuine
acc_309044,isabella_yoga_157,978,9,577,3488,1,32,19,1,0.1654243119266055,normal,normal,normal,genuine
acc_487547,david_gym,2089,77,400,7834,0,31,10,3,0.05105948429920858,normal,burst,mass_following,suspicious
acc_543538,sophia_nature,45,0,0,4727,1,27,0,0,0.0,normal,normal,normal,genuine
acc_411345,tom_books,2027,68,44626,352,1,33,77,5,10.0,normal,normal,fake_follower_spike,suspicious
acc_381719,jessica_reads,1374,13,0,76,0,32,13,4,0.0,normal,normal,normal,genuine
acc_808116,john_photo,755,30,390,3153,1,28,4,1,0.12369172216936251,normal,burst,mass_following,suspicious
acc_155469,emma_tech,1025,7,19,0,0,36,15,4,0.0,normal,normal,normal,genuine
acc_779865,mike_travel_621,1384,48,0,116,1,37,20,3,0.0,normal,normal,normal,genuine
acc_593393,alex_smith,2391,38,613,98,1,32,8,3,6.255102040816326,normal,normal,normal,genuine
acc_842225,james_sports_70,129,0,86,186,1,27,0,0,0.46236559139784944,normal,normal,normal,genuine
acc_619072,james_sports,2104,135,50,0,1,0,0,4,0.0,normal,normal,normal,genuine
acc_782089,isabella_yoga_791,2380,1663,84,0,1,0,4,3,0.0,normal,normal,normal,genuine
acc_213346,david_gym,1928,15,30,2142,1,28,11,5,0.014005602240896359,normal,normal,normal,genuine
acc_702593,mike_travel,1662,46,84,0,0,32,15,3,0.0,normal,normal,normal,genuine
acc_734924,sarah_jones_924,2457,3,16,0,1,27,16,3,0.0,normal,normal,normal,genuine
acc_604083,click_here_now,2065,3694,151,101,1,39,10,0,1.495049504950495,normal,repetitive,normal,suspicious
acc_918511,user_522888,969,85,291,8313,0,28,9,3,0.03500541320822808,normal,burst,mass_following,suspicious
acc_402790,alex_smith,964,36,188,483,1,26,20,1,0.38923395445134573,normal,normal,normal,genuine
acc_985974,isabella_yoga,2214,46,0,20,1,27,2,5,0.0,normal,normal,normal,genuine
acc_518832,sophia_nature,1803,0,877,94,1,33,0,0,9.329787234042554,normal,normal,normal,genuine
acc_859782,isabella_yoga_275,1545,360,25,4920,0,31,3,5,0.00508130081300813,normal,normal,normal,genuine
acc_323717,james_sports,1478,19,0,1985,1,0,7,0,0.0,normal,normal,normal,genuine
acc_706187,mark_coffee_943,1546,76,180,2688,0,28,9,1,0.06696428571428571,normal,burst,mass_following,suspicious
acc_479742,david_gym,133,4186,48,136,0,36,0,5,0.35294117647058826,normal,normal,normal,genuine
acc_942731,free_money_2026,422,0,12,1358,0,28,0,0,0.008836524300441826,normal,spammy,mass_following,suspicious
acc_103353,david_gym_572,855,46,34,61,1,32,9,1,0.5573770491803278,normal,normal,normal,genuine
acc_609021,jessica_reads,1794,1805,0,719,0,26,17,1,0.0,normal,normal,normal,genuine
acc_375201,lily_food_671,1597,168,0,230,1,30,15,3,0.0,normal,normal,normal,genuine
acc_186709,james_sports_449,1286,0,0,1879,1,30,0,0,0.0,normal,normal,normal,genuine
acc_550573,mark_coffee,1,15,5015,461,1,27,30,4,10.0,normal,normal,fake_follower_spike,suspicious
acc_987629,mike_travel,1778,2921,33,552,1,28,4,0,0.059782608695652176,normal,normal,normal,genuine
acc_622993,user_40388888,352,2194,245,108,1,31,6,2,2.2685185185185186,normal,repetitive,normal,suspicious
acc_183422,mike_travel,1079,10,817,393,1,31,20,12,2.078880407124682,normal,normal,normal,genuine
acc_461642,sarah_jones,2019,195,35385,489,0,37,27,12,10.0,normal,normal,fake_follower_spike,suspicious
acc_678874,chris_music,662,0,0,17,1,0,0,0,0.0,normal,normal,normal,genuine
acc_689112,sophia_nature,1709,2208,160,613,1,31,5,0,0.26101141924959215,normal,spammy,normal,suspicious
acc_149211,mike_travel_573,2497,18,870,0,0,32,79,7,0.0,normal,normal,normal,genuine
acc_703149,james_sports,2207,1492,489,530,1,36,5,1,0.9226415094339623,normal,spammy,normal,suspicious
acc_309794,james_sports,2359,0,887,4247,1,32,0,0,0.20885330821756534,normal,normal,normal,genuine
acc_900319,alex_smith,785,0,4507,687,0,36,0,0,6.560407569141193,normal,normal,normal,genuine
acc_293458,emma_tech,143,0,58,2658,1,33,0,0,0.0218209179834462,normal,normal,normal,genuine
acc_405946,chris_music,4,70,6652,371,0,26,50,1,10.0,normal,normal,fake_follower_spike,suspicious
acc_413136,mike_travel,2,13,4544,380,0,39,25,1,10.0,normal,normal,fake_follower_spike,suspicious
acc_454366,lily_food,1978,4034,0,1842,1,26,17,2,0.0,normal,normal,normal,genuine
acc_449202,john_photo_74,1034,2393,332,434,1,26,3,2,0.7649769585253456,normal,spammy,normal,suspicious
acc_860585,olivia_art,828,0,529,195,1,36,0,0,2.712820512820513,normal,normal,normal,genuine
acc_291423,tom_books,1887,0,79,163,1,28,0,0,0.48466257668711654,normal,normal,normal,genuine
acc_523325,alex_smith_981,439,195,9683,0,1,30,786,176,0.0,normal,normal,normal,genuine
acc_128117,emma_tech,595,174,69,119,0,32,14,3,0.5798319327731093,normal,normal,normal,genuine
acc_477808,chris_music,1056,0,87,0,1,30,0,0,0.0,normal,normal,normal,genuine
acc_152367,alex_smith_992,2299,30,86,77,1,36,13,1,1.1168831168831168,normal,normal,normal,genuine
acc_945197,james_sports_656,825,195,40,207,1,0,19,0,0.1932367149758454,normal,normal,normal,genuine
acc_571923,olivia_art_215,2204,14,34,912,1,26,1,2,0.03728070175438596,normal,normal,normal,genuine
acc_815706,tom_books,465,182,4,0,1,31,10,4,0.0,normal,normal,normal,genuine
acc_618119,olivia_art,2374,399,81,121,0,37,11,4,0.6694214876033058,normal,normal,normal,genuine
acc_833226,tom_books_587,7,14,6659,310,0,28,37,8,10.0,normal,normal,fake_follower_spike,suspicious
acc_840170,david_gym,312,21,293,5072,1,31,5,2,0.05776813880126183,normal,burst,mass_following,suspicious
acc_499020,get_rich_quick,383,0,12,620,0,30,0,0,0.01935483870967742,normal,spammy,mass_following,suspicious
acc_918946,emma_tech,1576,15,213,0,1,26,9,5,0.0,normal,normal,normal,genuine
acc_301437,isabella_yoga,704,215,239,0,1,0,5,2,0.0,normal,normal,normal,genuine
acc_583866,alex_smith,326,116,30397,296,0,26,43,19,10.0,normal,normal,fake_follower_spike,suspicious
acc_524363,emma_tech,398,53,8396,304,0,30,72,16,10.0,normal,normal,fake_follower_spike,suspicious
acc_187657,john_photo_944,833,10,82,948,0,36,13,0,0.08649789029535865,normal,normal,normal,genuine
acc_599773,isabella_yoga,1968,169,14980,272,0,26,51,20,10.0,normal,normal,fake_follower_spike,suspicious
acc_912617,lily_food,256,0,42,2883,1,30,0,0,0.014568158168574402,normal,normal,normal,genuine
acc_122733,lily_food_582,14,90,3262,261,0,30,5,7,10.0,normal,normal,fake_follower_spike,suspicious
acc_946998,user_93088888,391,3129,477,562,0,39,5,2,0.8487544483985765,normal,repetitive,normal,suspicious
acc_391383,get_rich_quick,713,0,14,775,0,39,0,0,0.01806451612903226,normal,spammy,mass_following,suspicious
acc_929130,jessica_reads,2200,0,0,3307,1,27,0,0,0.0,normal,normal,normal,genuine
acc_851158,lily_food_10,2220,47,11,0,0,0,18,4,0.0,normal,normal,normal,genuine
acc_724086,sophia_nature_809,794,0,0,0,1,26,0,0,0.0,normal,normal,normal,genuine
acc_810968,sarah_jones_168,2,108,9410,82,1,30,385,31,10.0,normal,normal,normal,genuine
acc_627832,emma_tech,725,21,81,36,0,33,8,5,2.25,normal,normal,normal,genuine
acc_161940,sophia_nature,2192,489,0,507,0,36,10,5,0.0,normal,normal,normal,genuine
acc_232332,mike_travel,1454,58,19119,112,0,30,39,19,10.0,normal,normal,fake_follower_spike,suspicious
acc_235019,sarah_jones,2079,46,334,4364,1,0,3,3,0.07653528872593951,normal,normal,normal,genuine
acc_692493,david_gym,1903,91,0,179,0,30,18,3,0.0,normal,normal,normal,genuine
acc_414932,mike_travel,1601,1,2,150,1,30,7,3,0.013333333333333334,normal,normal,normal,genuine
acc_396323,alex_smith,2468,0,51,20,1,30,0,0,2.55,normal,normal,normal,genuine
acc_480186,chris_music,2498,46,499,9771,1,26,1,2,0.05106949135195988,normal,burst,mass_following,suspicious
acc_164387,mark_coffee,245,0,0,382,1,26,0,0,0.0,normal,normal,normal,genuine
acc_694423,mike_travel,1045,0,103,4,1,32,0,0,10.0,normal,normal,normal,genuine
acc_506582,jessica_reads_439,2416,31,5,2940,1,26,3,3,0.0017006802721088435,normal,normal,normal,genuine
acc_392089,olivia_art_720,2185,0,7450,0,0,37,0,0,0.0,normal,normal,normal,genuine
acc_873266,emma_tech,1736,0,0,225,1,28,0,0,0.0,normal,normal,normal,genuine
acc_988843,james_sports_994,2183,0,757,4459,0,26,0,0,0.1697690065037004,normal,normal,normal,genuine
acc_619498,user_235888,1848,78,105,5048,0,31,6,0,0.020800316957210775,normal,burst,mass_following,suspicious
acc_654231,john_photo,588,0,9,938,1,37,0,0,0.009594882729211088,normal,normal,normal,genuine
acc_377048,user_1668888,1497,2251,99,796,0,34,6,3,0.12437185929648241,normal,repetitive,normal,suspicious
acc_932978,john_photo,1622,16,89,23,1,30,20,0,3.869565217391304,normal,normal,normal,genuine
acc_846806,chris_music,409,694,415,617,1,27,3,2,0.6726094003241491,normal,spammy,normal,suspicious
acc_214798,olivia_art_856,668,0,759,187,0,28,0,0,4.0588235294117645,normal,normal,normal,genuine
acc_694103,emma_tech,2118,0,0,0,0,26,0,0,0.0,normal,normal,normal,genuine
acc_162833,mike_travel,1215,0,344,85,1,37,0,0,4.047058823529412,normal,normal,normal,genuine
acc_596524,sarah_jones_379,1709,16,750,549,1,32,41,7,1.366120218579235,normal,normal,normal,genuine
acc_498591,john_photo,1495,0,35,0,1,28,0,0,0.0,normal,normal,normal,genuine
acc_336650,mark_coffee,1846,29,2626,0,0,31,88,35,0.0,normal,normal,normal,genuine
acc_974774,mark_coffee,68,3,0,168,1,26,4,5,0.0,normal,normal,normal,genuine
acc_948188,sophia_nature,1175,32,36,464,1,0,4,5,0.07758620689655173,normal,normal,normal,genuine
acc_644624,mark_coffee,2036,1331,458,278,0,0,3,0,1.6474820143884892,normal,spammy,normal,suspicious
acc_573066,olivia_art,1506,32,0,0,1,26,17,5,0.0,normal,normal,normal,genuine
acc_821484,user_7188888,2283,3426,95,594,0,30,4,1,0.15993265993265993,normal,repetitive,normal,suspicious
acc_965708,emma_tech,2441,6,0,141,0,30,16,3,0.0,normal,normal,normal,genuine
acc_971861,lily_food,1326,28,0,168,1,31,13,4,0.0,normal,normal,normal,genuine
acc_231350,chris_music,18,37,7703,220,1,28,32,9,10.0,normal,normal,fake_follower_spike,suspicious
acc_711401,user_40988888,1773,49,22,9755,1,27,7,1,0.0022552537160430547,normal,burst,mass_following,suspicious
acc_992935,sarah_jones,390,17,16,0,1,26,17,0,0.0,normal,normal,normal,genuine
acc_690653,alex_smith,673,29,522,303,1,27,22,6,1.7227722772277227,normal,normal,normal,genuine
acc_426295,john_photo_910,1506,180,40218,157,1,37,23,3,10.0,normal,normal,fake_follower_spike,suspicious
acc_194674,john_photo,1038,58,385,8067,1,37,8,2,0.04772530060741292,normal,burst,mass_following,suspicious
acc_817395,mike_travel,575,29,776,0,1,36,33,11,0.0,normal,normal,normal,genuine
acc_302488,mike_travel,2424,2675,460,511,1,28,4,1,0.9001956947162426,normal,spammy,normal,suspicious
acc_940145,emma_tech_487,1960,0,749,0,1,36,0,0,0.0,normal,normal,normal,genuine
acc_464731,tom_books_166,2209,22,13,0,1,31,17,5,0.0,normal,normal,normal,genuine
acc_580462,sophia_nature,1078,0,99,190,1,33,0,0,0.5210526315789473,normal,normal,normal,genuine
acc_742978,tom_books,1863,331,15,1981,1,27,1,2,0.00757193336698637,normal,normal,normal,genuine
acc_471344,mark_coffee,780,2327,483,670,0,26,3,0,0.7208955223880597,normal,spammy,normal,suspicious
acc_304232,mike_travel_844,25,44,1263,108,1,27,44,6,10.0,normal,normal,fake_follower_spike,suspicious
acc_577564,chris_music,2151,0,0,0,1,28,0,0,0.0,normal,normal,normal,genuine
acc_192987,user_654888,2351,27,279,8987,0,39,9,0,0.031044842550350508,normal,burst,mass_following,suspicious
acc_956990,mark_coffee_128,1895,440,0,0,0,37,16,4,0.0,normal,normal,normal,genuine
acc_178501,mark_coffee,987,22,71,61,1,36,15,3,1.1639344262295082,normal,normal,normal,genuine
acc_593774,john_photo_68,2381,2215,125,231,0,31,1,2,0.5411255411255411,normal,spammy,normal,suspicious
acc_889303,alex_smith,871,158,34580,395,1,26,83,13,10.0,normal,normal,fake_follower_spike,suspicious
acc_549770,hacker_pro,1090,565,369,658,0,34,10,0,0.560790273556231,normal,repetitive,normal,suspicious
acc_337686,david_gym,1448,2351,88,1417,0,36,19,2,0.062103034580098804,normal,normal,normal,genuine
acc_426711,mark_coffee,1522,30,0,101,0,28,12,0,0.0,normal,normal,normal,genuine
acc_942658,emma_tech,54,20,40,0,1,32,11,4,0.0,normal,normal,normal,genuine
acc_805653,user_56188888,1002,66,409,7276,0,30,5,3,0.05621220450797141,normal,burst,mass_following,suspicious
acc_882786,lucky88888,2065,4527,82,967,0,31,9,1,0.08479834539813857,normal,repetitive,normal,suspicious
acc_387918,john_photo,1746,38,99,0,0,31,8,1,0.0,normal,normal,normal,genuine
acc_523960,tom_books,2383,144,15436,197,1,30,66,9,10.0,normal,normal,fake_follower_spike,suspicious
acc_684523,john_photo_720,2307,0,0,128,0,37,0,0,0.0,normal,normal,normal,genuine
acc_333644,james_sports,2036,2418,401,388,0,31,4,0,1.0335051546391754,normal,spammy,normal,suspicious
acc_874212,mike_travel,169,308,93,4521,1,30,14,1,0.0205706702057067,normal,normal,normal,genuine
acc_627108,mark_coffee_67,2164,34,515,0,0,37,11,1,0.0,normal,normal,normal,genuine
acc_955374,alex_smith,449,349,93,4207,1,31,1,4,0.02210601378654623,normal,normal,normal,genuine
acc_465511,chris_music,1509,3657,95,847,1,32,8,4,0.11216056670602124,normal,normal,normal,genuine
acc_888318,alex_smith,172,159,9521,195,1,0,439,86,10.0,normal,normal,normal,genuine
acc_832411,john_photo,1442,359,812,857,1,32,0,12,0.9474912485414235,normal,normal,normal,genuine
acc_787894,alex_smith,1768,26,25,209,1,33,6,1,0.11961722488038277,normal,normal,normal,genuine
acc_107054,jessica_reads_75,8,49,9040,231,1,0,12,3,10.0,normal,normal,fake_follower_spike,suspicious
acc_656937,mike_travel,1079,0,619,5,1,30,0,0,10.0,normal,normal,normal,genuine
acc_351038,lily_food,762,0,7438,0,1,31,0,0,0.0,normal,normal,normal,genuine
acc_564116,mark_coffee_149,860,0,0,0,1,30,0,0,0.0,normal,normal,normal,genuine
