username,followers_count,following_count,follower_following_ratio,posts_count,account_age_days,avg_posts_per_day,has_profile_pic,has_bio,bio_length,username_length,username_has_numbers,avg_likes_per_post,avg_comments_per_post,engagement_rate,posting_regularity,session_duration_avg,login_frequency,burst_posting_score,profile_completeness,verified_status,external_url,avg_caption_length,hashtag_density,spam_word_count,duplicate_content_ratio,label
user1501_genuine_732,176,175.0,1.0057142857142858,55,506,0.10869565217391304,1,1,48,20,1,1,2,1.7045454545454544,0.20231648314147904,159.03789258733633,3.1540523663953293,0.6371706471651591,1.0,0,1,80,0.049888359886565814,0,0.5394177595322137,0
user2586_genuine_899,25,15.900634990061203,1.572264253322362,18,118,0.15254237288135594,0,0,0,20,1,2,0,8.0,0.6154790171100528,107.2019621361782,4.243118671455045,0.31754915020195346,0.4,0,1,313,0.3515790778052964,0,0.0004687678105006698,0
user2653_genuine_867,61880,4276.0,14.471468662301216,360,845,0.4260355029585799,1,0,0,20,1,12008,1089,21.165158371040725,0.13226872583483051,114.11411548523955,2.141798738808328,0.6168736590401785,0.6,0,1,117,0.5858192171594657,1,0.3670237455422702,0
user1055_genuine_600,11494,4548.0,2.5272647317502197,240,784,0.30612244897959184,1,0,0,20,1,800,216,8.839394466678268,0.7677700347828637,140.63950938956134,1.998713664574983,0.611708795427979,0.6,0,1,189,0.7939044001326908,0,0.33184418690815537,0
user705_genuine_912,194,147.55572949683884,1.3147574862835547,276,552,0.5,1,1,114,19,1,20,2,11.34020618556701,0.6343075669581116,145.45120516936453,2.2516691415690286,0.09071866187592699,1.0,0,1,130,0.550944193840603,0,0.6939813041347279,0
user106_genuine_646,61307,89914.97719634022,0.6818330150507491,205,554,0.3700361010830325,1,1,98,19,1,1183,1186,3.8641590682956273,0.842081327278329,15.214875391932786,1.2864871728391325,0.5841969176721168,1.0,0,1,268,0.8772617628261795,0,0.23828409034469528,0
user589_genuine_304,1532,2568.0557291915425,0.5965602625307098,643,1191,0.5398824517212426,1,1,32,19,1,262,45,20.03916449086162,0.2693571814476262,3.478261719952694,4.8562753281827336,0.34536238292513527,1.0,0,0,6,0.008200709427645614,0,0.04776637817212855,0
user2468_genuine_640,198,1700.0,0.11647058823529412,51,117,0.4358974358974359,0,1,17,20,1,37,5,21.21212121212121,0.8989771041909851,148.29490408685012,3.933009713057297,0.4473227100616102,0.6,0,1,151,0.8434973459911767,1,0.05850287740857837,0
user2413_genuine_264,947,1418.0249881354027,0.6678302624590802,14,102,0.13725490196078433,1,1,100,20,1,43,61,10.982048574445617,0.4685688798103701,38.11301066529071,0.29098079294140555,0.23920518216868497,1.0,0,1,17,0.17150685570966862,0,0.6159702758168835,0
user1600_genuine_150,4097,3632.0,1.1280286343612336,314,2239,0.14024117909781153,1,0,0,20,1,288,324,14.937759336099585,0.2086418693453841,166.20450333526452,4.173177823744634,0.3090354433575573,0.6,0,1,229,0.1009515181277556,0,0.5052835210680394,0
user2464_genuine_253,13947,21517.38687341946,0.6481735018311542,224,675,0.33185185185185184,1,0,0,20,1,1683,660,16.79931167993117,0.8670422288998592,163.58075473449037,0.4227756736304519,0.4428849021052208,0.6,0,1,281,0.5230632009302512,0,0.37573699378504144,0
user228_genuine_471,65,3490.0,0.01862464183381089,127,590,0.21525423728813559,1,1,108,19,1,0,0,0.0,0.4269455167590096,80.07925504379776,4.891982039402687,0.646292516547185,1.0,0,0,46,0.10680070400236363,2,0.042158861430208215,0
user915_genuine_170,4877,339.0,14.386430678466077,291,15,19.4,1,1,100,19,1,115,65,3.6907935206069302,0.9183346374798925,88.68141678509927,2.0861357070394586,0.7643697149030229,1.0,0,1,272,0.852806111090902,0,0.5364835164979095,0
user794_genuine_960,49273,4935.0,9.984397163120567,52,106,0.49056603773584906,1,0,0,19,1,2944,1279,8.570616767803868,0.7700395509543396,20.804427098903055,4.912483285750235,0.5847693665288929,0.6,0,0,61,0.5242340378832885,0,0.5804370453958407,0
bot_271_948,505,2864.0,0.1763268156424581,249,1121,0.22212310437109722,0,0,0,11,1,20,8,5.544554455445545,0.12109694817456035,4.160124461187579,1.1426448330782588,0.932244259324106,0.4,0,0,117,0.5276298085540045,0,0.286685344212307,1
bot_793_787,223,587.0,0.3798977853492334,247,300,0.8233333333333334,1,1,22,11,1,24,15,17.48878923766816,0.08807759574777581,10.365867482769842,1.3990095910765108,0.9573382725649497,1.0,0,0,26,0.20845007307838284,0,0.6407419120904737,0
user1073_genuine_413,75,134.32954316477043,0.5583284081298779,853,2295,0.371677559912854,1,0,0,20,1,0,5,6.666666666666667,0.8711991587848212,147.20378256736643,0.4947344926177092,0.1976533163393671,0.6,0,0,313,0.03563268823972976,2,0.010032763500499975,1
bot_601_994,553,611.0,0.9050736497545008,52,63,0.8253968253968254,0,0,0,11,1,21,8,5.244122965641953,0.29658082422756854,14.312891988019821,0.5727070650686248,0.9595334918589955,0.4,0,0,156,0.798286751915225,0,0.20478574200080588,1
user1744_genuine_730,14910,18930.752843350972,0.7876073457499512,188,493,0.3813387423935091,0,1,210,20,1,169,328,3.3333333333333335,0.4756855754800542,148.99272790363682,0.8203006522962968,0.10321713524543608,0.8,0,1,238,0.25172347825991304,0,0.211387827741781,0
user1084_genuine_438,53,1472.0,0.036005434782608696,352,937,0.37566702241195304,0,0,0,20,1,1,1,3.7735849056603774,0.19887893003743307,174.50819821056763,1.2721466282544152,0.17631160366436377,0.4,0,1,165,0.27799743401993793,1,0.4069833391495602,0
user926_genuine_256,1000,2479.0,0.40338846308995563,54,145,0.3724137931034483,0,1,16,19,1,199,20,21.9,0.9666148807445778,168.44560704728457,0.983016190366345,0.011352239995800418,0.6,0,1,255,0.977455268334961,1,0.4063845253069279,0
bot_299_894,398,294.0,1.3537414965986394,23,92,0.25,0,0,0,11,1,28,13,10.301507537688442,0.14033613383622023,11.753328384606482,1.1078643830533916,0.9319350432262501,0.4,0,1,31,0.37100550266482674,1,0.671276434510359,1
user1117_genuine_332,10,3056.0,0.0032722513089005235,379,1876,0.20202558635394458,1,0,0,20,1,0,0,0.0,0.9752401796675958,170.47806718074744,1.3092945182911904,0.13671707856971915,0.4,0,0,178,0.6622500713806503,1,0.4206701174704029,0
user642_genuine_546,4982,7547.51993678976,0.660084377613321,52,302,0.17218543046357615,0,1,227,19,1,712,153,17.362505018065033,0.33621067268640126,60.48940501899376,0.7179474426702854,0.748061292784375,0.8,0,1,114,0.9599281205835015,0,0.5449820749958822,0
bot_2017_468,346,3112.0,0.11118251928020566,345,781,0.44174135723431496,0,0,0,12,1,0,4,1.1560693641618496,0.5348405217542713,69.15499745390363,3.024905859477057,0.22031893713370834,0.4,0,0,57,0.1767647101693438,0,0.6757965150807529,1
user501_genuine_617,2403,2529.0,0.9501779359430605,102,489,0.2085889570552147,0,1,103,19,1,120,133,10.528506034124012,0.6458732803454803,20.463969288563963,4.212365994588583,0.6516430296159975,0.8,0,0,278,0.2464779095767362,0,0.164829991907614,0
bot_1316_510,1582,2779.0,0.5692695214105793,6,1088,0.0055147058823529415,1,1,35,12,1,16,30,2.9077117572692797,0.12456105900417092,13.161951670379672,1.8868739241622208,0.9614288268548158,1.0,0,0,26,0.32998174238206185,8,0.420225038178808,1
user333_genuine_982,141,3424.0,0.041179906542056076,8,152,0.05263157894736842,1,1,21,19,1,21,5,18.439716312056735,0.8987877169537724,116.14529624772281,2.1854939106929545,0.23425029338973502,1.0,0,1,53,0.5313399532366091,0,0.6675925385441955,1
bot_1934_650,51,4203.0,0.012134189864382585,32,40,0.8,0,0,0,12,1,0,0,0.0,0.83496234060801,50.493916002624694,2.539957485550137,0.11058670134034249,0.4,0,0,204,0.6015849836768918,0,0.0445008101482686,1
user486_genuine_209,3847,2122.0,1.8129123468426014,100,356,0.2808988764044944,1,1,190,19,1,107,157,6.862490252144528,0.58792375837555,124.75516206089154,2.4527518258086567,0.35172458724733197,1.0,0,1,43,0.5385833858542034,0,0.6237386356892746,0
user1962_genuine_965,4505,2474.0,1.8209377526273243,43,120,0.35833333333333334,1,1,168,20,1,772,134,20.110987791342954,0.31400113423947396,46.98700923400567,1.9022688621452626,0.7156302890049028,1.0,0,0,242,0.16212992208671784,0,0.5445161227274518,0
user393_genuine_693,3022,4558.0,0.663010092145678,460,1216,0.3782894736842105,1,1,21,19,1,229,122,11.614824619457313,0.753943993598682,167.31382773136573,4.06066262218648,0.13049174009334302,1.0,0,1,275,0.34989546364739865,0,0.2516802011640024,0
bot_2092_677,2380,5393.0,0.4413128129056184,324,104,3.1153846153846154,1,1,88,12,1,5,20,1.050420168067227,0.25704235157550187,11.801466029812747,0.5625365546756449,0.8851650279826795,1.0,0,1,75,0.693966438448084,0,0.13677775416453877,1
bot_2116_454,189,1596.0,0.11842105263157894,268,58,4.620689655172414,1,1,128,12,1,8,2,5.291005291005291,0.6049694754917625,16.735247044294887,3.249466429796141,0.3364245390649142,1.0,0,0,40,0.23703199473157466,9,0.5446183831578786,1
user1755_genuine_471,2041,3193.126938541924,0.6391853625875521,226,535,0.4224299065420561,0,1,175,20,1,283,70,17.295443410093092,0.7449439280675625,58.102477140267936,3.3611802097323533,0.436307610440288,0.8,0,0,74,0.2616746261031505,0,0.6175706603982621,0
user2515_genuine_619,5994,3565.0,1.6813464235624123,758,1885,0.40212201591511937,1,0,0,20,1,392,391,13.063063063063062,0.9772091111075764,174.24217240304887,0.9089435043958178,0.4396860054636796,0.6,0,0,331,0.35117245872897906,0,0.17170852221752114,0
bot_835_648,572,3579.0,0.15982117910030735,44,55,0.8,1,1,110,11,1,57,23,13.986013986013987,0.4799163675833195,60.21497457744079,3.840317358826911,0.37418751958278884,1.0,0,0,63,0.1505499935493111,1,0.5084438173819101,1
bot_1565_860,532,5396.0,0.09859154929577464,5,97,0.05154639175257732,1,1,111,12,1,62,27,16.729323308270676,0.13291932165743728,14.631231460745854,1.979477918113208,0.7692657510191316,1.0,0,0,31,0.0952095852642822,2,0.6357203681962339,1
bot_2216_320,40,1239.0,0.03228410008071025,164,706,0.23229461756373937,0,0,0,12,1,0,0,0.0,0.15702364212849337,5.147304613290946,1.608220423295322,0.8878763370022871,0.4,0,0,10,0.33709281170841243,11,0.8438818664938443,1
user2099_genuine_689,42,2786.0,0.01507537688442211,192,85,2.2588235294117647,0,0,0,20,1,8,1,21.428571428571427,0.47016185832171986,23.059431463455052,1.3385268336546368,0.538435660919522,0.4,0,0,192,0.5248020375681086,0,0.26963818616947255,0
bot_849_923,1971,5086.0,0.3875344081793158,46,226,0.20353982300884957,1,1,129,11,1,83,17,5.073566717402334,0.05070210505803073,4.404822007895831,1.9863374297038598,0.6633852644401494,1.0,0,0,86,0.32807558647717844,0,0.2263086587483737,1
bot_1371_807,41,590.0,0.06949152542372881,20,21,0.9523809523809523,1,1,67,12,1,0,0,0.0,0.29979656641882513,3.1408556717487435,0.9979210252151884,0.9764619307725051,1.0,0,0,28,0.06329127309022269,0,0.44750395143061983,1
user29_genuine_658,86818,142289.38162247348,0.6101509403586289,74,225,0.3288888888888889,0,1,35,18,1,1419,6067,8.622635858923266,0.8814709963320282,17.044027367161384,3.0669347948260666,0.7890055966934522,0.8,0,0,18,0.618254771530296,0,0.3237743012932035,0
user65_genuine_180,115,97.3442631409099,1.1813741898023582,377,1294,0.29134466769706335,1,0,0,18,1,10,7,14.782608695652174,0.4647791647771691,109.13025829183752,3.2361945594862696,0.29827890975114757,0.6,0,0,297,0.8543850933695791,0,0.1730617520822239,1
user838_genuine_977,45517,4539.0,10.02797973121833,236,921,0.256243213897937,1,1,75,19,1,8061,1900,21.88413120372608,0.900540991359577,124.89001426967569,0.8980297236581112,0.4729240036981914,1.0,0,0,88,0.5009618263593643,0,0.6973900974622429,0
