id,username,followers_count,friends_count,statuses_count,favourites_count,listed_count,created_at,verified,default_profile,default_profile_image,has_extended_profile,description,location,url,account_type,account_age_days,has_profile_image,bio
celebrity_0,verified_celeb_0,200000,5000,4380,1388,498,2020-10-20T18:51:15.942706,True,False,False,True,Celebrity | Content Creator | Influencer,Los Angeles,https://example.com,human,1929,True,Celebrity | Content Creator | Influencer
bot_1,user226297,15,5000,22758,30,1,2026-01-06T18:51:15.959778,False,True,True,False,Follow for exclusive deals!,,,bot,25,False,Follow for exclusive deals!
regular_2,john_smith_2,500,480,1542,648,26,2023-01-01T18:51:15.960449,False,False,False,True,Software engineer | Coffee lover | Tech enthusiast,San Francisco,https://example.com,human,1126,True,Software engineer | Coffee lover | Tech enthusiast
celebrity_3,verified_influencer_3,150000,3000,3549,1321,380,2018-04-04T18:51:15.960878,True,False,False,True,Influencer | Fashion & Lifestyle,New York,https://example.com,human,2859,True,Influencer | Fashion & Lifestyle
bot_4,spam_user_4,8,8000,27290,156,1,2026-01-16T18:51:15.961273,False,True,True,False,Click link for free stuff!,,,bot,15,False,Click link for free stuff!
bot_5,user18318,30,1863,11275,497,4,2025-12-17T18:51:15.961677,False,True,True,False,,,,bot,45,False,
real_6,john_davis,358,97,3297,2551,16,2020-06-25T18:51:15.962048,False,False,False,True,Photographer | Nature lover,,,human,2046,True,Photographer | Nature lover
bot_7,bot_7,23,3891,33694,417,2,2025-11-03T18:51:15.962419,False,True,True,False,Follow for deals!,,,bot,89,False,Follow for deals!
bot_8,user9208,14,1625,26132,366,3,2026-01-08T18:51:15.962903,False,False,False,False,,,,bot,23,True,
bot_9,user52383,50,5224,21217,367,0,2025-12-27T18:51:15.963498,False,False,False,False,,,,bot,35,True,
real_10,alex_davis,721,899,4731,316,1,2022-06-29T18:51:15.964050,False,False,True,False,Software engineer and tech enthusiast,San Francisco,,human,1312,False,Software engineer and tech enthusiast
real_11,mike_smith,1684,611,2901,1410,22,2020-02-27T18:51:15.964479,False,False,False,False,Marketing professional | Dog lover,New York,https://example.com,human,2165,True,Marketing professional | Dog lover
real_12,mike_jones,74,575,4529,1525,9,2020-12-22T18:51:15.964839,False,True,False,True,Software engineer and tech enthusiast,Tokyo,,human,1866,True,Software engineer and tech enthusiast
bot_13,user17917,20,2965,5394,9,2,2026-01-13T18:51:15.965203,False,False,True,False,,,,bot,18,False,
real_14,emma_davis,532,421,1942,2647,9,2022-06-25T18:51:15.965568,False,False,False,False,Software engineer and tech enthusiast,Tokyo,,human,1316,True,Software engineer and tech enthusiast
real_15,emma_jones,1218,609,2586,946,26,2019-10-09T18:51:15.965911,False,False,False,False,Photographer | Nature lover,Tokyo,,human,2306,True,Photographer | Nature lover
real_16,sarah_jones,271,133,1518,2561,26,2021-02-07T18:51:15.966259,False,True,False,True,"Love coffee, books, and travel",,,human,1819,True,"Love coffee, books, and travel"
real_17,alex_smith,1952,89,4836,2900,30,2016-10-05T18:51:15.966593,False,False,False,True,,San Francisco,https://example.com,human,3405,True,
bot_18,bot_18,0,8036,16827,443,3,2026-01-30T18:51:15.966930,False,True,True,False,,,,bot,1,False,
real_19,mike_smith,257,858,140,1394,40,2021-10-04T18:51:15.967272,False,False,False,True,,,,human,1580,True,
real_20,mike_smith,318,467,4429,1929,47,2016-10-27T18:51:15.967623,False,False,False,False,,London,,human,3383,True,
real_21,john_jones,411,379,4671,1621,21,2020-09-27T18:51:15.967956,False,False,False,True,,Tokyo,,human,1952,True,
bot_22,user76044,24,7139,44189,234,1,2026-01-08T18:51:15.968283,False,False,True,False,Follow for deals!,,,bot,23,False,Follow for deals!
real_23,alex_davis,916,61,1202,485,35,2016-12-17T18:51:15.968696,False,True,False,True,Photographer | Nature lover,Tokyo,,human,3332,True,Photographer | Nature lover
real_24,sarah_brown,1718,207,3073,2616,40,2017-07-19T18:51:15.969145,False,False,True,False,Photographer | Nature lover,New York,,human,3118,False,Photographer | Nature lover
real_25,mike_davis,436,211,2119,102,40,2018-09-12T18:51:15.969557,False,True,False,True,Photographer | Nature lover,San Francisco,,human,2698,True,Photographer | Nature lover
real_26,sarah_smith,954,612,2465,2343,41,2023-04-10T18:51:15.969914,False,False,True,True,"Love coffee, books, and travel",Tokyo,,human,1027,False,"Love coffee, books, and travel"
real_27,alex_davis,1423,442,1113,457,49,2017-08-08T18:51:15.970269,False,False,False,True,"Love coffee, books, and travel",London,,human,3098,True,"Love coffee, books, and travel"
bot_28,bot_28,12,4559,20038,354,0,2026-01-26T18:51:15.970623,False,True,True,False,,,,bot,5,False,
real_29,john_jones,1587,244,1090,2272,27,2018-09-18T18:51:15.970946,False,False,False,True,Photographer | Nature lover,London,,human,2692,True,Photographer | Nature lover
real_30,alex_brown,882,269,712,2701,23,2018-01-23T18:51:15.971248,False,True,False,True,,,https://example.com,human,2930,True,
bot_31,user71556,43,3786,33401,427,5,2025-12-06T18:51:15.971600,False,False,True,False,,,,bot,56,False,
real_32,john_smith,1822,948,3822,1774,21,2017-01-13T18:51:15.971938,False,False,False,True,Marketing professional | Dog lover,London,,human,3305,True,Marketing professional | Dog lover
bot_33,bot_33,38,8581,39113,11,3,2025-11-05T18:51:15.972261,False,True,False,False,,,,bot,87,True,
real_34,sarah_brown,1065,577,3961,2550,31,2017-11-18T18:51:15.972590,False,False,False,True,,London,,human,2996,True,
real_35,emma_smith,822,705,2861,2503,29,2020-03-18T18:51:15.972929,False,False,False,True,"Love coffee, books, and travel",Tokyo,,human,2145,True,"Love coffee, books, and travel"
real_36,john_smith,232,565,3012,2699,42,2021-01-18T18:51:15.973261,False,False,False,False,"Love coffee, books, and travel",London,,human,1839,True,"Love coffee, books, and travel"
bot_37,user64391,47,4237,32835,380,1,2025-11-25T18:51:15.973600,False,True,True,False,Follow for deals!,,,bot,67,False,Follow for deals!
real_38,alex_brown,1312,847,3796,2296,18,2019-04-23T18:51:15.973901,False,False,True,True,,London,,human,2475,False,
real_39,sarah_brown,1204,525,1778,1983,15,2017-02-25T18:51:15.974193,False,False,False,False,Marketing professional | Dog lover,London,https://example.com,human,3262,True,Marketing professional | Dog lover
real_40,mike_davis,415,332,1285,856,4,2018-08-30T18:51:15.974502,False,False,False,True,,,,human,2711,True,
bot_41,user1348,35,6391,12785,337,4,2026-01-20T18:51:15.974795,False,True,False,False,Follow for deals!,,,bot,11,True,Follow for deals!
real_42,alex_brown,1214,341,4059,636,22,2018-02-12T18:51:15.975090,False,False,False,False,Photographer | Nature lover,San Francisco,https://example.com,human,2910,True,Photographer | Nature lover
bot_43,user91447,8,2400,9765,376,3,2026-01-20T18:51:15.975408,False,True,False,False,,,,bot,11,True,
real_44,alex_smith,1254,988,3611,1296,12,2017-11-11T18:51:15.975730,False,False,False,False,Marketing professional | Dog lover,Tokyo,,human,3003,True,Marketing professional | Dog lover
bot_45,user41530,7,2846,27078,314,5,2025-12-17T18:51:15.976039,False,True,True,False,Follow for deals!,,,bot,45,False,Follow for deals!
real_46,john_brown,1901,960,2831,213,42,2021-12-22T18:51:15.976356,True,False,False,True,Photographer | Nature lover,San Francisco,,human,1501,True,Photographer | Nature lover
bot_47,user61884,18,1578,31066,251,3,2025-12-28T18:51:15.976770,False,True,True,False,Follow for deals!,,,bot,34,False,Follow for deals!
real_48,mike_davis,1064,539,2684,1643,22,2018-02-16T18:51:15.977298,False,False,False,True,Marketing professional | Dog lover,London,,human,2906,True,Marketing professional | Dog lover
real_49,alex_brown,458,475,4433,2761,10,2021-01-11T18:51:15.977867,False,True,True,True,,New York,,human,1846,False,
